Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AVA,AVISTA CORP,Utilities,Equity,82105339.42,0.11,82105339.42,2247614,36.53,United States,New York Stock Exchange Inc.,USD,1,USD,-
CVBF,CVB FINANCIAL CORP,Financials,Equity,81825890.45,0.11,81825890.45,3727831,21.95,United States,NASDAQ,USD,1,USD,-
SXT,SENSIENT TECHNOLOGIES CORP,Materials,Equity,81709347.96,0.11,81709347.96,1132022,72.18,United States,New York Stock Exchange Inc.,USD,1,USD,-
CEIX,CONSOL ENERGY INC,Energy,Equity,81702211.48,0.11,81702211.48,794614,102.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
ATKR,ATKORE INC,Industrials,Equity,81345859.77,0.11,81345859.77,975721,83.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
HP,HELMERICH & PAYNE INC,Energy,Equity,81123286.48,0.11,81123286.48,2637298,30.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRVL,CORVEL CORP,Health Care,Equity,81087975.76,0.11,81087975.76,712924,113.74,United States,NASDAQ,USD,1,USD,-
CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials,Equity,80251167.54,0.11,80251167.54,1287934,62.31,United States,New York Stock Exchange Inc.,USD,1,USD,-
LBRT,LIBERTY ENERGY INC CLASS A,Energy,Equity,79982228.97,0.11,79982228.97,4279413,18.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
NHI,NATIONAL HEALTH INVESTORS REIT INC,Real Estate,Equity,79965523.89,0.11,79965523.89,1161783,68.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
NMIH,NMI HOLDINGS INC,Financials,Equity,79895779.92,0.11,79895779.92,2175811,36.72,United States,NASDAQ,USD,1,USD,-
HL,HECLA MINING,Materials,Equity,79583063.43,0.11,79583063.43,15884843,5.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALRM,ALARM.COM HOLDINGS INC,Information Technology,Equity,79309880.43,0.11,79309880.43,1277749,62.07,United States,NASDAQ,USD,1,USD,-
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,Equity,79143218.9,0.11,79143218.9,4808215,16.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
DIOD,DIODES INC,Information Technology,Equity,79040133.9,0.11,79040133.9,1234038,64.05,United States,NASDAQ,USD,1,USD,-
HBI,HANESBRANDS INC,Consumer Discretionary,Equity,78918070.79,0.11,78918070.79,9589073,8.23,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALIT,ALIGHT INC CLASS A,Industrials,Equity,78877415.06,0.11,78877415.06,11414966,6.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
TRN,TRINITY INDUSTRIES INC,Industrials,Equity,78634040.16,0.11,78634040.16,2216292,35.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
AKR,ACADIA REALTY TRUST REIT,Real Estate,Equity,78279298.03,0.11,78279298.03,3262997,23.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
VERX,VERTEX INC CLASS A,Information Technology,Equity,78143629.2,0.11,78143629.2,1482520,52.71,United States,NASDAQ,USD,1,USD,-
TNET,TRINET GROUP INCINARY,Industrials,Equity,77917247.25,0.11,77917247.25,863349,90.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
WSFS,WSFS FINANCIAL CORP,Financials,Equity,77906207.49,0.11,77906207.49,1459191,53.39,United States,NASDAQ,USD,1,USD,-
SNEX,STONEX GROUP INC,Financials,Equity,77442456,0.11,77442456,781300,99.12,United States,NASDAQ,USD,1,USD,-
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,Equity,77265262.8,0.11,77265262.8,1951143,39.6,United States,New York Stock Exchange Inc.,USD,1,USD,-
AWR,AMERICAN STATES WATER,Utilities,Equity,77148430.11,0.11,77148430.11,989463,77.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,Equity,77031172.86,0.11,77031172.86,87638,878.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
BGC,BGC GROUP INC CLASS A,Financials,Equity,76865552.4,0.11,76865552.4,8446764,9.1,United States,NASDAQ,USD,1,USD,-
BRZE,BRAZE INC CLASS A,Information Technology,Equity,76710991.5,0.11,76710991.5,1788135,42.9,United States,NASDAQ,USD,1,USD,-
